Age Ma	d18O adj	d18O 5pt	tempC	tempC_5pt
0.002	3.16	3.252	4.309984	3.99697056
0.002	2.91	3.228	5.172534	4.07839776
0.004	3.33	3.228	3.733446	4.07839776
0.004	3.16	3.328	4.309984	3.74018176
0.004	3.58	3.392	2.900296	3.52519296
0.0059	3.66	3.32	2.637384	3.767136
0.006	3.23	3.334	4.071606	3.71997784
0.007	2.97	3.36	4.963926	3.632544
0.008	3.23	3.268	4.071606	3.94277536
0.008	3.71	3.244	2.473974	4.02409504
0.01	3.2	3.52	4.1736	3.098656
0.01	3.11	3.604	4.481094	2.82123424
0.0118	4.35	3.73	0.444150000000001	2.408806
0.012	3.65	3.784	2.67015	2.23341184
0.012	4.34	4.026	0.474984000000001	1.45741464
0.013	3.47	4.1	3.264726	1.2234
0.015	4.32	4.384	0.536736	0.339523839999999
0.016	4.72	4.48	-0.677023999999999	0.0458560000000015
0.0179	5.07	4.796	-1.702314	-0.902573760000001
0.018	4.82	4.872	-0.973463999999999	-1.12650624
0.018	5.05	4.922	-1.64465	-1.27294824
0.018	4.7	4.85	-0.6174	-1.06185
0.02	4.97	4.884	-1.412874	-1.16171616
0.02	4.71	4.758	-0.647226	-0.790001039999999
0.0214	4.99	4.804	-1.470986	-0.926221759999998
0.023	4.42	4.734	0.229096	-0.718694159999997
0.024	4.93	4.756	-1.296314	-0.78406496
0.024	4.62	4.712	-0.377783999999999	-0.653187839999998
0.026	4.82	4.72	-0.973463999999999	-0.677023999999999
0.027	4.77	4.652	-0.825593999999996	-0.473845439999998
0.028	4.46	4.588	0.106824	-0.28143584
0.028	4.59	4.554	-0.287465999999998	-0.178751759999999
0.03	4.3	4.504	0.598600000000002	-0.027157759999997
0.0305	4.65	4.52	-0.46785	-0.0757439999999967
0.032	4.52	4.458	-0.0757439999999967	0.112926960000001
0.033	4.54	4.558	-0.136375999999998	-0.190849039999999
0.033	4.28	4.524	0.660576	-0.0878793599999987
0.0335	4.8	4.554	-0.914399999999997	-0.178751759999999
0.036	4.48	4.482	0.0458560000000015	0.0397653600000001
0.0361	4.67	4.544	-0.527753999999999	-0.148488959999998
0.037	4.18	4.454	0.972136000000003	0.125136240000003
0.0388	4.59	4.472	-0.287465999999998	0.0702297599999997
0.04	4.35	4.414	0.444150000000001	0.247475440000004
0.04	4.57	4.418	-0.227113999999999	0.235221360000001
0.041	4.38	4.406	0.351816000000001	0.271997040000002
0.042	4.2	4.452	0.909600000000002	0.131242560000001
0.0423	4.53	4.428	-0.106073999999999	0.204605760000002
0.044	4.58	4.406	-0.257303999999999	0.271997040000002
0.0457	4.45	4.392	0.137349999999999	0.31495296
0.047	4.27	4.382	0.691606000000003	0.345669360000003
0.048	4.13	4.382	1.128966	0.345669360000003
0.048	4.48	4.378	0.0458560000000015	0.357963760000002
0.0486	4.58	4.414	-0.257303999999999	0.247475440000004
0.05	4.43	4.472	0.198486	0.0702297599999997
0.0507	4.45	4.362	0.137349999999999	0.407186160000002
0.052	4.42	4.338	0.229096	0.481154159999999
0.052	3.93	4.29	1.763286	0.629574000000001
0.052	4.46	4.206	0.106824	0.890861039999998
0.0529	4.19	4.168	0.940854000000001	1.00971136
0.055	4.23	4.294	0.816006000000001	0.617181040000002
0.055	4.03	4.276	1.444726	0.672984640000003
0.056	4.47	4.226	0.0763260000000034	0.828470640000003
0.0569	4.55	4.328	-0.166649999999998	0.512021759999998
0.057	3.85	4.414	2.02015	0.247475440000004
0.06	4.54	4.358	-0.136375999999998	0.419502960000004
0.0607	4.66	4.318	-0.497816	0.542917360000001
0.061	4.19	4.386	0.940854000000001	0.333379440000001
0.064	4.35	4.384	0.444150000000001	0.339523839999999
0.064	4.19	4.326	0.940854000000001	0.518198640000003
0.064	4.53	4.44	-0.106073999999999	0.167903999999998
0.0645	4.37	4.448	0.382566	0.14345856
0.065	4.76	4.436	-0.795936	0.180133440000001
0.068	4.39	4.322	0.321094000000001	0.530555760000002
0.069	4.13	4.24	1.128966	0.784864000000001
0.0705	3.96	4.128	1.667424	1.13525376
0.072	3.96	4.048	1.667424	1.38768256
0.072	4.2	4.052	0.909600000000002	1.37501856
0.0741	3.99	4.088	1.571814	1.26124416
0.076	4.15	4.074	1.06615	1.30544664
0.076	4.14	3.988	1.097544	1.57818016
0.077	3.89	3.912	1.891494	1.82092416
0.0799	3.77	3.784	2.278806	2.23341184
0.08	3.61	3.766	2.801494	2.29178584
0.08	3.51	3.796	3.131814	2.19454624
0.08	4.05	3.78	1.38135	2.246376
0.0829	4.04	3.838	1.413024	2.05883416
0.083	3.69	3.994	2.539254	1.55908504
0.084	3.9	3.958	1.8594	1.67380696
0.086	4.29	3.918	0.629574000000001	1.80170136
0.087	3.87	3.964	1.955766	1.65466144
0.088	3.84	3.998	2.052384	1.54636056
0.089	3.92	3.99	1.795296	1.571814
0.0894	4.07	3.938	1.318086	1.73769816
0.09	4.25	3.95	0.753750000000001	1.69935
0.091	3.61	3.97	2.801494	1.635526
0.092	3.9	3.892	1.8594	1.88507296
0.0929	4.02	3.726	1.476456	2.42183064
0.095	3.68	3.794	2.571936	2.20102104
0.095	3.42	3.776	3.431496	2.25934464
0.096	3.95	3.716	1.69935	2.45441184
0.0967	3.81	3.728	2.149254	2.41531776
0.098	3.72	3.822	2.441376	2.11047576
0.099	3.74	3.756	2.376264	2.32425504
0.1	3.89	3.764	1.891494	2.29827744
0.1004	3.62	3.728	2.768616	2.41531776
0.101	3.85	3.674	2.02015	2.59155864
0.104	3.54	3.656	3.032424	2.65048704
0.104	3.47	3.726	3.264726	2.42183064
0.104	3.8	3.708	2.1816	2.48049696
0.1062	3.97	3.77	1.635526	2.278806
0.108	3.76	3.838	2.311264	2.05883416
0.109	3.85	3.878	2.02015	1.93004376
0.109	3.81	3.82	2.149254	2.116936
0.112	4	3.842	1.54	2.04593496
0.112	3.68	3.728	2.571936	2.41531776
0.113	3.87	3.656	1.955766	2.65048704
0.114	3.28	3.594	3.902176	2.85415704
0.114	3.45	3.544	3.33135	3.01919104
0.1155	3.69	3.62	2.539254	2.768616
0.116	3.43	3.688	3.398086	2.54578816
0.118	4.25	3.542	0.753750000000001	3.02580696
0.1188	3.62	3.448	2.768616	3.33801856
0.119	2.72	3.412	5.839776	3.45824416
0.12	3.22	3.2	4.105576	4.1736
0.12	3.25	3.014	4.00375	4.81158744
0.1216	3.19	3.13	4.207654	4.412566
0.122	2.69	3.096	5.946054	4.52913024
0.124	3.3	3.004	3.8346	4.84616224
0.1244	3.05	3.246	4.68735	4.01731224
0.126	2.79	3.476	5.592774	3.24476064
0.126	4.4	3.572	0.290399999999999	2.92668576
0.1269	3.84	3.7	2.052384	2.5066
0.128	3.78	4.07	2.246376	1.318086
0.131	3.69	4.076	2.539254	1.29912864
0.1312	4.64	4.208	-0.437855999999998	0.88461696
0.132	4.43	4.45	0.198486	0.137349999999999
0.133	4.5	4.704	-0.0149999999999975	-0.629333759999997
0.135	4.99	4.73	-1.470986	-0.706794000000001
0.136	4.96	4.748	-1.383776	-0.760309439999999
0.136	4.77	4.826	-0.825593999999996	-0.991161359999996
0.137	4.52	4.744	-0.0757439999999967	-0.748424959999997
0.14	4.89	4.71	-1.179306	-0.647226
0.14	4.58	4.716	-0.257303999999999	-0.66510816
0.14	4.79	4.722	-0.884825999999998	-0.68298024
0.141	4.8	4.654	-0.914399999999997	-0.47983976
0.141	4.55	4.65	-0.166649999999998	-0.46785
0.143	4.55	4.64	-0.166649999999998	-0.437855999999998
0.144	4.56	4.666	-0.196895999999997	-0.51578216
0.144	4.74	4.614	-0.736536000000001	-0.35974056
0.1447	4.93	4.698	-1.296314	-0.611431439999999
0.145	4.29	4.722	0.629574000000001	-0.68298024
0.1466	4.97	4.704	-1.412874	-0.629333759999997
0.148	4.68	4.684	-0.557663999999999	-0.569620160000001
0.148	4.65	4.84	-0.46785	-1.032416
0.1482	4.83	4.794	-1.002954	-0.896658959999997
0.149	5.07	4.718	-1.702314	-0.671066639999998
0.1498	4.74	4.704	-0.736536000000001	-0.629333759999997
0.151	4.3	4.654	0.598600000000002	-0.47983976
0.152	4.58	4.566	-0.257303999999999	-0.215030159999997
0.152	4.58	4.596	-0.257303999999999	-0.305549759999999
0.153	4.78	4.518	-0.855223999999998	-0.0696746399999988
0.1548	4.59	4.528	-0.287465999999998	-0.100010239999998
0.156	4.06	4.512	1.349704	-0.0514598399999988
